,Unnamed: 0,tweet,created_at (after trading hours),Same day stock closing price,Next day stock open price,Daily change,polarity
23,23,"['thrilled', 'partner', 'another', 'iconic', 'american', 'company', 'global', 'leader', 'express', 'distribution', 'build', 'smarter', 'sustainable', 'future', 'industry']",2021-01-13 17:51:40+00:00,48.73,49.5,1.58%,0.22000000000000003
24,24,"['a', 'part', 'advance', 'safe', 'world', 'gm', 'donate', '1m', 'khanacademy', 'one', 'world', 'leader', 'online', 'learn', 'everyone', 'provide', 'tool', 'set', 'success', 'khan', 'academy', 'work', 'bring', 'best', 'class', 'education']",2021-01-12 19:59:45+00:00,47.82,50.78,6.19%,0.6
25,25,"['the', 'peaceful', 'transition', 'power', 'cornerstone', 'american', 'democracy', 'regardless', 'politics', 'violence', 'u', 's', 'capitol', 'reflect', 'nation', 'it', 'imperative', 'come', 'together', 'country', 'reinforce', 'value', 'ideal', 'unite', 'u']",2021-01-06 23:09:05+00:00,42.98,43.98,2.33%,0.3833333333333333
26,26,"['today', 'i', 'proud', 'join', 'oneten', 'initiative', 'break', 'cycle', 'status', 'quo', 'approach', 'reinforces', 'systemic', 'barrier', 'black', 'american', 'make', 'meaningful', 'measurable', 'lasting', 'change']",2020-12-10 20:12:03+00:00,42.87,42.48,-0.91%,0.22666666666666666
27,27,"['this', 'year', 'like', 'yet', 'incredible', 'watch', 'people', 'across', 'world', 'rise', 'occasion', 'i', 'excite', 'future', 'hold', 'generation', 'follow']",2020-12-08 21:45:04+00:00,43.8,44.13,0.75%,0.45
28,28,"['kamalaharris', 'joebiden', 'thank', 'host', 'important', 'conversation', 'pandemic', 'impact', 'workforce', 'economy']",2020-11-17 21:38:47+00:00,41.98,42.19,0.50%,0.4
29,29,"['congratulation', 'chaseelliott', 'teamchevy']",2020-11-09 21:49:22+00:00,38.96,39.75,2.03%,0.0
30,30,"['our', 'strong', 'result', 'q3', 'driven', 'hard', 'work', 'commitment', 'employee', 'the', 'innovation', 'speed', 'team', 'supplier', 'dealer', 'inspire', 'i', 'proud', 'everyone', 'come', 'together', 'health', 'safety', 'top', 'priority']",2020-11-05 16:13:29+00:00,37.14,37.5,0.97%,0.36041666666666666
31,31,"['humble', 'include', 'among', 'list', 'lead', 'woman', 'work', 'make', 'world', 'well', 'place', 'a', 'reminder', 'young', 'girl', 'anything', 'set', 'mind']",2020-10-19 17:12:53+00:00,33.35,33.96,1.83%,-0.05
32,32,"['thanks', 'ellmcgirt', 'fortunempw', 'summit', 'inspire', 'event', 'we', 'commit', 'journey', 'ensure', 'true', 'accountability', 'around', 'de', 'amp', 'i', 'effort', 'part', 'make', 'company', 'world', 'well', 'place']",2020-09-30 16:50:23+00:00,29.59,29.52,-0.24%,0.275
33,33,"['today', 'i', 'announce', 'guide', 'principle', 'gm', 'inclusion', 'advisory', 'board', 'eleven', 'member', 'join', 'we', 'aspire', 'inclusive', 'company', 'world', 'word', 'deeds', 'culture', 'this', 'one', 'step']",2020-06-22 22:03:47+00:00,26.37,26.75,1.44%,0.0
34,34,"['today', 'decision', 'supreme', 'court', 'historic', 'day', 'lgbtq', 'community', 'everyone', 'deserve', 'feel', 'welcome', 'value', 'workplace', 'society', 'this', 'pride2020', 'remember', 'celebrate', 'difference', 'true']",2020-06-15 17:57:18+00:00,27.77,29.11,4.83%,0.3833333333333333
35,35,"['today', 'i', 'stand', 'alongside', 'mayor', 'detroit', 'local', 'leader', 'make', 'commitment', 'hometown', 'nation', 'longer', 'allow', 'company', 'indulgence', 'ask', 'we', 'company', 'focus', 'what']",2020-06-03 20:39:16+00:00,29.07,28.86,-0.72%,0.0
36,36,"['we', 'continue', 'dedicate', 'zero', 'emission', 'electric', 'future', 'work', 'together', 'automaker', 'include', 'hondainamerica', 'help', 'u', 'achieve', 'goal', 'even', 'faster']",2020-04-02 20:17:17+00:00,18.19,18.4,1.15%,0.0
37,37,"['we', 'closely', 'monitor', 'covid', '19', 'situation', 'ensure', 'prevent', 'spread', 'virus', 'in', 'decision', 'uaw', 'suspend', 'production', 'na', 'manufacture', 'operation', 'we', 'take', 'systematic', 'approach', 'safety', 'top', 'priority']",2020-03-18 19:04:52+00:00,16.8,16.34,-2.74%,0.5
38,38,"['this', 'historic', 'week', 'gm', 'we', 'aggressively', 'go', 'every', 'aspect', 'ev', 'ecosystem', 'we', 'create', 'evs', 'every', 'brand', 'segment', 'body', 'style', 'price', 'point', 'part', 'country', 'our', 'electric', 'future']",2020-03-04 19:34:18+00:00,31.53,30.54,-3.14%,0.0
39,39,"['we', 'commit', 'ambitious', 'goal', 'help', 'u', 'get', 'electric', 'zero', 'emission', 'future', 'we', 'continue', 'take', 'right', 'action', 'make', 'right', 'decision', 'well', 'world']",2020-02-05 19:49:55+00:00,35.03,35.05,0.06%,0.18428571428571427
