,Unnamed: 0,tweet,created_at (after trading hours),Same day stock closing price,Next day stock open price,Daily change,polarity
107,107,['lovewins'],2016-06-15 16:55:41+00:00,28.86,28.67,-0.66%,0.0
108,108,"['education', 'change', 'world', 'here', 'next', 'generation', 'woman', 'leader', 'stateofwome']",2016-06-14 20:17:53+00:00,28.83,28.98,0.52%,0.0
109,109,"['moiraforbes', 'thank', 'i', 'grateful', 'terrific', 'team', 'it', 'exciting', 'time', 'redefine', 'personal', 'mobility']",2016-06-06 18:10:37+00:00,29.99,30.16,0.57%,0.09999999999999999
110,110,"['our', 'global', 'propulsion', 'system', 'team', 'ask', 'great', 'question', 'today', 'town', 'hall', 'it', 'good', 'back', 'pontiac']",2016-05-17 16:58:40+00:00,30.63,30.56,-0.23%,0.375
111,111,"['forgottnharvest', 'you', 'important', 'work', 'relieve', 'hunger', 'detroit', 'thanks', 'opportunity', 'volunteer', 'pleasure', 'mine']",2016-05-12 20:11:40+00:00,31.18,30.87,-0.99%,0.30000000000000004
112,112,"['fatima', 'rabbit', 'stanfordbiz', 'i', 'look', 'forward', 'share', 'be', 'lookout', 'june']",2016-05-05 21:18:46+00:00,30.54,30.73,0.62%,0.0
113,113,"['ifiwere22', 'i', 'tell', 'good', 'leader', 'take', 'opportunity', 'learn', 'every', 'chance', 'get']",2016-05-03 17:07:52+00:00,31.25,31.0,-0.80%,0.7
114,114,"['great', 'hear', 'this', 'exciting', 'time', 'work', 'gm']",2016-04-28 19:10:31+00:00,32.44,32.35,-0.28%,0.55
115,115,"['a', 'great', 'car', 'great', 'cause']",2016-04-27 17:42:48+00:00,32.16,31.97,-0.59%,0.8
116,116,"['integrity', 'glad', 'come', 'loud', 'clear', 'recent', 'chat', 'cheri', 'cheralex', 'amp', 'michiganross', 'student']",2016-04-26 19:47:17+00:00,32.19,32.18,-0.03%,0.175
117,117,"['welcome', 'detroit', 'marthastewart', 'hope', 'enjoy', 'tour', 'gm', 'design', 'morning']",2016-04-21 19:32:18+00:00,32.66,32.66,0.00%,0.6000000000000001
118,118,"['congratulation', 'well', 'deserve', 'honor', 'renee', 'we', 'grateful', '30', 'year', 'service', 'team']",2016-04-20 18:45:36+00:00,32.19,33.18,3.08%,0.0
119,119,"['great', 'interview', 'buick', 'lizwetzel', 'represent', 'dynamic', 'design', 'team', 'gm']",2016-03-28 22:01:41+00:00,31.02,31.04,0.06%,0.4
120,120,"['msuecocar3', 'welcome', 'back', 'spring', 'break', 'hope', 'enjoy', 'time', 'ready', 'work', 'hard', 'semester']",2016-03-23 19:35:11+00:00,31.31,30.88,-1.37%,0.22166666666666668
121,121,"['uwaft', 'you', 'welcome', 'glad', 'piday', 'success']",2016-03-15 17:09:21+00:00,31.05,30.83,-0.71%,0.5333333333333333
122,122,"['csula', 'ecocar3', 'glad', 'enjoy', 'pizza', 'pi']",2016-03-14 20:40:43+00:00,31.18,30.86,-1.03%,0.45
123,123,"['great', 'discussion', 'stem', 'education', 'idea', 'strong', 'leader', 'amp', 'inspire', 'team', 'womenshistorymonth']",2016-03-10 20:03:08+00:00,30.82,31.05,0.75%,0.6166666666666667
124,124,"['jamieee', 'e', 'that', 'wonderful', 'jamie', 'i', 'glad', 'hear', 'enjoy', 'day', 'gm']",2016-03-09 20:41:59+00:00,30.54,30.72,0.59%,0.6333333333333333
125,125,"['honor', 'part', 'company', 'strong', 'inspirational', 'woman', 'past', 'present', 'iwd2016']",2016-03-08 20:01:51+00:00,30.68,30.47,-0.68%,0.17083333333333334
126,126,['love'],2016-02-24 20:10:15+00:00,28.84,28.83,-0.03%,0.5
127,127,"['gma', 'amp', 'crawfordsfive', 'touch', 'help', 'dayitforward', 'teacher', 'aide', 'surprise', 'with', 'donation', 'for', 'new', 'car']",2016-02-02 21:58:33+00:00,29.65,30.1,1.52%,0.13636363636363635
128,128,"['a', 'auto', 'industry', 'continue', 'transform', 'must', 'create', 'right', 'culture', 'retain', 'great', 'people', 'skillsgap']",2016-01-12 21:29:06+00:00,30.3,31.83,5.05%,0.5428571428571429
129,129,"['garyshapiro', 'thanks', 'great', 'thrill', 'debut', 'chevrolet', 'bolt', 'ev', 'ce']",2016-01-06 22:44:33+00:00,31.27,30.26,-3.23%,0.5
130,130,"['kzrvsr', 'it', 'great', 'vec', 'opportunity', 'connect', 'global', 'team', 'thanks', 'join', 'u']",2015-12-14 19:17:17+00:00,34.39,34.75,1.05%,0.3333333333333333
131,131,"['nmoralesnbc', 'that', 'wonderful', 'our', 'team', 'excite']",2015-12-10 16:59:33+00:00,35.63,35.14,-1.38%,1.0
132,132,"['i', 'love', 'car', 'another', 'congratulation', 'chevrolet', 'team', 'camaro', 'name', 'one', 'caranddriver', '10best']",2015-11-18 21:57:21+00:00,36.46,36.43,-0.08%,0.5
133,133,"['stand', 'thisisgmc', 'raise', 'awareness', 'need', 'smart', 'house', 'injured', 'service', 'member', 'enlistme']",2015-11-17 17:08:24+00:00,35.21,35.4,0.54%,0.21428571428571427
134,134,"['how', 'fortune', '10', 'car', 'company', 'disrupt', 'others', 'first']",2015-11-03 18:50:13+00:00,35.78,35.83,0.14%,0.25
135,135,"['viva', 'la', 'vega', 'look', 'forward', 'speak', 'ces2016', 'redefine', 'personal', 'mobility']",2015-10-29 16:30:13+00:00,34.75,34.85,0.29%,0.0
136,136,"['ceomikejackson', 'i', 'accept', 'challenge', 'drivepink']",2015-10-22 19:29:55+00:00,35.42,35.54,0.34%,0.0
137,137,"['six', 'female', 'leader', 'talk', 'wish', 'know', 'start', 'career', 'via', 'forbes']",2015-10-21 20:16:29+00:00,35.42,35.64,0.62%,0.0
138,138,"['from', 'brain', 'surgery', 'bake', 'stem', 'woman', 'change', 'world', 'thought', 'fortunempw', 'girl', 'inc', 'mentor', 'session']",2015-10-14 17:25:57+00:00,33.33,33.55,0.66%,0.0
139,139,"['close', 'year', 'fortunempw', 'summit', 'flotus', 'uscto', 'ursula', 'burn', 'xerox', 'brilliant', 'girl', 'inc', 'student', 'great', 'day']",2015-10-13 23:27:15+00:00,33.13,33.2,0.21%,0.8500000000000001
140,140,"['andylst66', 'be', 'honest', 'seek', 'advice', 'build', 'great', 'team', 'trust']",2015-10-05 18:30:44+00:00,31.76,31.81,0.16%,0.7
141,141,"['kccurtis', 'social', 'medium', 'connect', 'customer', 'employee', 'shareholder', 'like', 'never', 'be', 'authentic', 'be', 'smart', 'have', 'fu']",2015-09-29 23:20:46+00:00,29.15,29.62,1.61%,0.2492063492063492
142,142,"['goldieblox', 'debbieblox', 'congratulation', 'debbie', 'keep', 'great', 'work']",2015-09-24 17:55:18+00:00,29.44,29.79,1.19%,0.8
143,143,"['congratulation', 'erica', 'enders', 'nhra', 'win', 'chevrolet', 'camaro']",2015-09-09 17:12:15+00:00,29.62,29.19,-1.45%,0.8
144,144,"['hire', 'people', 'like', 'trick', 'learn', 'transform', 'gm', 'howihire']",2015-09-01 19:36:07+00:00,28.64,29.01,1.29%,0.0
145,145,"['who', 'think', 'engineering', 'could', 'cool', 'actually', 'ilooklikeanengineer']",2015-08-10 17:03:21+00:00,31.94,31.29,-2.04%,0.175
146,146,"['i', 'great', 'time', 'today', 'gm', 'volunteer', 'liferemodeled', 'detroit', 'an', 'important', 'cause', 'awesome', 'team', 'http', 'co', 'mxayjmwmo']",2015-08-03 20:11:14+00:00,31.68,31.66,-0.06%,0.7333333333333334
147,147,"['honor', 'join', 'stanford', 'university', 'board', 'trustees', 'look', 'forward', 'support', 'alma', 'mater', 'http', 'co', 'h6gubb7is']",2015-07-14 21:12:20+00:00,31.77,31.85,0.25%,0.0
148,148,"['during', 'recent', 'chat', 'danroth', 'i', 'share', 'perspective', 'gm', 'culture', 'may', 'different', 'expect', 'http', 'co', 'ec9gpsvc8']",2015-06-30 18:00:16+00:00,33.33,33.61,0.84%,0.0
149,149,"['customer', 'want', 'performance', 'accessible', 'technology', 'beautifully', 'design', 'car', 'enter', 'chevrolet', 'cruze', 'http', 'co', 'ilrcaemmb']",2015-06-24 23:03:33+00:00,35.16,35.21,0.14%,0.6125
150,150,"['one', 'way', 'democratize', 'technology', 'customer']",2015-05-28 21:11:01+00:00,36.39,36.49,0.27%,0.0
151,151,"['in', 'half', 'hour', 'i', 'sit', 'waltmossberg', 'recode', 'discus', 'excite', 'tech', 'news', 'chevrolet']",2015-05-27 18:02:50+00:00,35.81,36.11,0.84%,-0.16666666666666666
152,152,"['bay', 'liz', 'and', 'thank', 'share', 'story', 'horse', 'chevrolet', 'colorado', 'u']",2015-05-14 21:38:35+00:00,34.65,34.7,0.14%,0.0
153,153,"['look', 'forward', 'discuss', 'importance', 'top', 'notch', 'talent', 'forbes', 'reinventingamerica', 'workforce', 'summit', 'tonight', 'detroit']",2015-05-04 21:02:01+00:00,35.4,35.4,0.00%,0.5
154,154,"['good', 'luck', 'kentucky', 'rt', 'gbcsbobcats', 'grand', 'blanc', 'girl', 'robotics', 'team', 'major', 'trouble', 'go', 'world', 'competition', 'http', 'co', 'ojajkhwbo']",2015-04-15 17:18:08+00:00,36.94,37.13,0.51%,0.265625
155,155,"['just', 'visit', 'jerry', 'chevrolet', 'weatherford', 'tx', 'great', 'focus', 'customer', 'chevy', 'bestdayeve']",2015-04-14 19:16:27+00:00,36.48,36.82,0.93%,0.8
156,156,"['detroitnaacp', 'bring', 'vp', 'joe', 'biden', '60th', 'annual', 'fight', 'for', 'freedom', 'fund', 'dinner', 'http', 'co', 'lkvxfu9op7', 'look', 'forward']",2015-04-08 18:30:56+00:00,36.11,36.1,-0.03%,0.0
157,157,"['warrenbuffett', 'hope', 'still', 'enjoy', 'cadillac', 'xt', 'nyautoforu']",2015-03-31 19:35:30+00:00,37.5,37.27,-0.61%,0.4
158,158,"['honor', 'talk', 'catalystinc', 'deborah', 'gillis', 'today', 'catalystawards', 'leadership', 'importance', 'stem', 'http', 'co', 'pncqtsqqx']",2015-03-26 16:11:11+00:00,37.35,37.34,-0.03%,0.0
159,159,"['a', 'degree', 'engineering', 'lead', 'job', 'oversee', 'onstar', 'operation', 'china', 'diane', 'jurgens', 'stem', 'http', 'co', 'kqy10vyds']",2015-03-12 18:21:53+00:00,38.43,38.39,-0.10%,0.0
160,160,"['meet', 'sheri', 'chief', 'engineer', 'gm', 'next', 'generation', 'pickup', 'truck', 'http', 'co', 'tagjbj4zzb', 'ste']",2015-02-09 17:50:31+00:00,36.0,37.28,3.56%,0.0
161,161,"['great', 'work', 'passionate', 'talented', 'team', 'behind', '2016', 'cadillac', 'ct', 'v', 'look', 'forward', 'take', 'one', 'track']",2015-01-13 16:59:28+00:00,35.25,34.36,-2.52%,0.26249999999999996
